"","Brand","Product","Shade_Code","Hue","Saturation","Lightness"
"596","Nykaa","SKINgenius","d4ac93",23,0.31,74
"597","Nykaa","SKINgenius","ebc7af",24,0.26,83
"598","Maybelline","Fit Me Matte","f7d1bc",21,0.24,87
"599","Maybelline","Fit Me Matte","f3b989",27,0.44,80
"600","Maybelline","Fit Me Matte","f0ba81",31,0.46,80
"601","Maybelline","Fit Me Matte","ebba8a",30,0.41,79
"602","Maybelline","Fit Me Matte","d69c74",24,0.46,69
"603","Maybelline","Fit Me Matte","f9d0b0",26,0.29,86
"604","Maybelline","Fit Me Matte","fbd5bd",23,0.25,86
"605","Maybelline","Fit Me Matte","e7b9a2",20,0.3,79
"606","Maybelline","Fit Me Matte","dcb297",23,0.31,76
"607","Maybelline","Fit Me Matte","e6b898",25,0.34,78
"608","Maybelline","Fit Me Matte","ebbf93",30,0.37,81
"609","Maybelline","Fit Me Matte","efb793",23,0.38,79
"610","Maybelline","Fit Me Matte","ebba8a",30,0.41,79
"611","Maybelline","Fit Me Matte","f3b27d",27,0.49,78
"612","L'Oréal","True Match","693720",19,0.7,29
"613","L'Oréal","True Match","b07555",21,0.52,55
"614","L'Oréal","True Match","bc6d4e",17,0.59,55
"615","L'Oréal","True Match","c29979",26,0.38,67
"616","L'Oréal","True Match","ddb496",25,0.32,76
"617","L'Oréal","True Match","eebfa3",22,0.32,81
"618","L'Oréal","True Match","e7cbb5",26,0.22,84
"619","L'Oréal","True Match","dcb29a",22,0.3,76
"620","L'Oréal","True Match","f0c7b3",20,0.25,83
"621","L'Oréal","True Match","eecfba",24,0.22,85
"622","L'Oréal","True Match","e8c7b8",19,0.21,83
"623","L'Oréal","True Match","f0cbb9",20,0.23,85
"624","L'Oréal","True Match","e9c4b1",20,0.24,82
"625","L'Oréal","True Match","eabea1",24,0.31,80
